0000001,2015-10-20T08:00:00.000+03:00,1.676,CA,Olinda Windsor Inn
0000002,2016-01-08T01:00:00.000+03:00,1.218,MX,Merlin Por Motel
0000002,2016-05-23T15:00:00.000+03:00,1.164,CA,Merlin Por Motel
0000003,2015-10-08T22:00:00.000+03:00,1.774,CA,Olinda Big River Casino
0000003,2016-01-28T19:00:00.000+03:00,1.495,MX,Olinda Big River Casino
0000003,2016-04-28T00:00:00.000+03:00,1.736,CA,Olinda Big River Casino
0000004,2015-09-23T12:00:00.000+03:00,1.528,CA,Majestic Big River Elegance Plaza
0000005,2016-03-22T05:00:00.000+03:00,1.552,CA,Majestic Ibiza Por Hostel
0000007,2015-09-11T08:00:00.000+03:00,1.940,MX,Big River Copacabana Inn
0000007,2015-10-18T04:00:00.000+03:00,1.306,US,Big River Copacabana Inn
0000008,2016-06-10T22:00:00.000+03:00,1.156,US,Sheraton Moos' Motor Inn
0000009,2015-10-04T16:00:00.000+03:00,1.844,MX,Moon Light Sun Sine Inn
0000001,2016-01-12T14:00:00.000+03:00,1.380,MX,Olinda Windsor Inn
0000001,2016-05-29T11:00:00.000+03:00,0.786,US,Olinda Windsor Inn
0000001,2016-06-20T10:00:00.000+03:00,1.246,MX,Olinda Windsor Inn
0000002,2015-11-29T18:00:00.000+03:00,1.607,US,Merlin Por Motel
0000006,2015-11-24T17:00:00.000+03:00,0.740,MX,Mengo Elegance River Side Hotel
0000006,2015-12-23T06:00:00.000+03:00,0.795,US,Mengo Elegance River Side Hotel
0000006,2016-06-01T05:00:00.000+03:00,1.269,US,Mengo Elegance River Side Hotel
0000007,2015-12-23T02:00:00.000+03:00,1.676,MX,Big River Copacabana Inn
0000009,2016-02-29T23:00:00.000+03:00,1.722,CA,Moon Light Sun Sine Inn
0000010,2015-10-26T15:00:00.000+03:00,1.733,CA,Copacabana Motor Inn
0000002,2015-11-05T06:00:00.000+03:00,1.383,MX,Merlin Por Motel
0000002,2016-07-17T16:00:00.000+03:00,1.737,CA,Merlin Por Motel
0000003,2015-11-19T02:00:00.000+03:00,1.878,MX,Olinda Big River Casino
0000003,2016-04-27T22:00:00.000+03:00,1.163,US,Olinda Big River Casino
0000005,2016-04-18T22:00:00.000+03:00,1.659,US,Majestic Ibiza Por Hostel
0000006,2016-05-23T23:00:00.000+03:00,1.547,CA,Mengo Elegance River Side Hotel
0000006,2016-05-30T05:00:00.000+03:00,0.910,US,Mengo Elegance River Side Hotel
0000007,2015-10-18T17:00:00.000+03:00,1.677,US,Big River Copacabana Inn
0000007,2015-12-11T22:00:00.000+03:00,1.918,US,Big River Copacabana Inn
0000007,2016-01-23T09:00:00.000+03:00,1.735,MX,Big River Copacabana Inn
0000009,2015-09-05T09:00:00.000+03:00,0.734,CA,Moon Light Sun Sine Inn
0000009,2016-02-14T20:00:00.000+03:00,1.795,US,Moon Light Sun Sine Inn
0000009,2016-05-13T10:00:00.000+03:00,1.808,CA,Moon Light Sun Sine Inn
0000010,2015-09-19T09:00:00.000+03:00,1.518,CA,Copacabana Motor Inn
0000010,2016-07-09T14:00:00.000+03:00,1.435,US,Copacabana Motor Inn
0000001,2015-09-06T10:00:00.000+03:00,1.504,CA,Olinda Windsor Inn
0000001,2016-02-07T22:00:00.000+03:00,1.832,CA,Olinda Windsor Inn
0000002,2015-08-10T17:00:00.000+03:00,1.672,MX,Merlin Por Motel
0000002,2016-04-13T04:00:00.000+03:00,1.203,US,Merlin Por Motel
0000003,2016-01-13T03:00:00.000+03:00,1.438,US,Olinda Big River Casino
0000003,2016-02-06T11:00:00.000+03:00,1.256,MX,Olinda Big River Casino
0000003,2016-03-27T07:00:00.000+03:00,1.505,MX,Olinda Big River Casino
0000004,2015-09-30T06:00:00.000+03:00,1.374,CA,Majestic Big River Elegance Plaza
0000004,2015-09-30T06:00:00.000+03:00,1.374,MX,Majestic Big River Elegance Plaza
0000006,2015-11-27T08:00:00.000+03:00,0.832,CA,Mengo Elegance River Side Hotel
0000008,2016-04-20T05:00:00.000+03:00,1.254,US,Sheraton Moos' Motor Inn
0000009,2016-05-06T20:00:00.000+03:00,1.400,MX,Moon Light Sun Sine Inn
0000009,2016-06-15T06:00:00.000+03:00,1.835,MX,Moon Light Sun Sine Inn
0000002,2015-11-14T22:00:00.000+03:00,1.931,US,Merlin Por Motel
0000002,2016-02-05T03:00:00.000+03:00,1.484,CA,Merlin Por Motel
0000003,2015-12-05T04:00:00.000+03:00,1.440,US,Olinda Big River Casino
0000003,2016-01-18T08:00:00.000+03:00,1.614,MX,Olinda Big River Casino
0000003,2016-06-06T07:00:00.000+03:00,0.865,US,Olinda Big River Casino
0000003,2016-07-12T11:00:00.000+03:00,1.224,MX,Olinda Big River Casino
0000004,2016-04-23T04:00:00.000+03:00,1.844,MX,Majestic Big River Elegance Plaza
0000004,2016-07-08T04:00:00.000+03:00,1.146,US,Majestic Big River Elegance Plaza
0000005,2016-01-12T13:00:00.000+03:00,1.503,CA,Majestic Ibiza Por Hostel
0000005,2016-02-13T11:00:00.000+03:00,1.879,CA,Majestic Ibiza Por Hostel
0000006,2016-02-19T12:00:00.000+03:00,1.162,US,Mengo Elegance River Side Hotel
0000006,2016-07-17T01:00:00.000+03:00,0.951,MX,Mengo Elegance River Side Hotel
0000007,2015-12-02T15:00:00.000+03:00,1.900,US,Big River Copacabana Inn
0000007,2016-02-11T16:00:00.000+03:00,1.735,US,Big River Copacabana Inn
0000007,2016-07-13T16:00:00.000+03:00,1.338,CA,Big River Copacabana Inn
0000008,2016-02-26T16:00:00.000+03:00,1.434,MX,Sheraton Moos' Motor Inn
0000008,2016-05-08T06:00:00.000+03:00,1.188,MX,Sheraton Moos' Motor Inn
0000009,2016-06-03T06:00:00.000+03:00,1.143,CA,Moon Light Sun Sine Inn
0000010,2015-10-24T01:00:00.000+03:00,1.219,MX,Copacabana Motor Inn
0000001,2016-05-17T21:00:00.000+03:00,0.750,CA,Olinda Windsor Inn
0000001,2016-05-25T14:00:00.000+03:00,0.773,MX,Olinda Windsor Inn
0000002,2016-01-20T17:00:00.000+03:00,1.847,MX,Merlin Por Motel
0000005,2016-04-11T23:00:00.000+03:00,1.574,US,Majestic Ibiza Por Hostel
0000006,2015-12-19T05:00:00.000+03:00,1.822,MX,Mengo Elegance River Side Hotel
0000006,2016-01-14T11:00:00.000+03:00,1.390,US,Mengo Elegance River Side Hotel
0000006,2016-02-11T17:00:00.000+03:00,1.537,CA,Mengo Elegance River Side Hotel
0000009,2015-10-08T22:00:00.000+03:00,1.946,US,Moon Light Sun Sine Inn
0000009,2016-05-18T02:00:00.000+03:00,1.188,MX,Moon Light Sun Sine Inn
0000010,2016-04-02T20:00:00.000+03:00,1.212,CA,Copacabana Motor Inn
0000001,2015-11-06T13:00:00.000+03:00,1.440,US,Olinda Windsor Inn
